########################################################################################
# This file contains data retrieved from the CDS https://cds.climate.copernicus.eu/datasets/insitu-observations-woudc-ozone-total-column-and-profiles
# This is a C3S product under the following licences:
# 20180314_Copernicus_License_V1.1
# woudc-data-policy
# This is a CSV file following the CDS convention cdm-obs
# Data source: TotalOzone
# Time extent: 20040101 - 20250331
# Geographic area (minlat/maxlat/minlon/maxlon): 50.80/50.80/4.35/4.35
# Variables selected and units:
# total_ozone_column [Dobson-units]
# standard_deviation_ozone [None]
# Uncertainty legend:
# No uncertainty columns available for this dataset.
########################################################################################
index,observation_id,report_id,observed_variable,observation_value,units,sensor_id,primary_station_id,height_of_station_above_sea_level,report_timestamp,longitude,latitude
67,478856,19410,standard_deviation_ozone,2.5,None,MKII,53,100.0,2004-01-20,4.35,50.8
68,478883,19411,standard_deviation_ozone,5.4,None,MKIII,53,100.0,2004-01-20,4.35,50.8
69,501932,20339,standard_deviation_ozone,3.3,None,Beck,53,100.0,2004-01-20,4.35,50.8
70,478857,19410,total_ozone_column,322.8,Dobson-units,MKII,53,100.0,2004-01-21,4.35,50.8
71,478884,19411,total_ozone_column,324.3,Dobson-units,MKIII,53,100.0,2004-01-21,4.35,50.8
72,501933,20339,total_ozone_column,311.2,Dobson-units,Beck,53,100.0,2004-01-21,4.35,50.8
73,478857,19410,standard_deviation_ozone,1.2,None,MKII,53,100.0,2004-01-21,4.35,50.8
74,478884,19411,standard_deviation_ozone,1.8,None,MKIII,53,100.0,2004-01-21,4.35,50.8
75,501933,20339,standard_deviation_ozone,5.8,None,Beck,53,100.0,2004-01-21,4.35,50.8
76,478858,19410,total_ozone_column,357.3,Dobson-units,MKII,53,100.0,2004-01-22,4.35,50.8
77,478885,19411,total_ozone_column,346.8,Dobson-units,MKIII,53,100.0,2004-01-22,4.35,50.8
78,501934,20339,total_ozone_column,348.9,Dobson-units,Beck,53,100.0,2004-01-22,4.35,50.8
79,478858,19410,standard_deviation_ozone,11.2,None,MKII,53,100.0,2004-01-22,4.35,50.8
80,478885,19411,standard_deviation_ozone,5.5,None,MKIII,53,100.0,2004-01-22,4.35,50.8
81,501934,20339,standard_deviation_ozone,11.1,None,Beck,53,100.0,2004-01-22,4.35,50.8
82,478859,19410,total_ozone_column,312.0,Dobson-units,MKII,53,100.0,2004-01-23,4.35,50.8
83,478886,19411,total_ozone_column,312.6,Dobson-units,MKIII,53,100.0,2004-01-23,4.35,50.8
84,501935,20339,total_ozone_column,299.8,Dobson-units,Beck,53,100.0,2004-01-23,4.35,50.8
85,478859,19410,standard_deviation_ozone,1.6,None,MKII,53,100.0,2004-01-23,4.35,50.8
86,478886,19411,standard_deviation_ozone,1.4,None,MKIII,53,100.0,2004-01-23,4.35,50.8
87,501935,20339,standard_deviation_ozone,15.6,None,Beck,53,100.0,2004-01-23,4.35,50.8
88,478860,19410,total_ozone_column,345.5,Dobson-units,MKII,53,100.0,2004-01-24,4.35,50.8
89,478887,19411,total_ozone_column,335.5,Dobson-units,MKIII,53,100.0,2004-01-24,4.35,50.8
90,478860,19410,standard_deviation_ozone,0.0,None,MKII,53,100.0,2004-01-24,4.35,50.8
91,478887,19411,standard_deviation_ozone,0.2,None,MKIII,53,100.0,2004-01-24,4.35,50.8
92,478861,19410,total_ozone_column,350.2,Dobson-units,MKII,53,100.0,2004-01-25,4.35,50.8
93,478888,19411,total_ozone_column,351.8,Dobson-units,MKIII,53,100.0,2004-01-25,4.35,50.8
94,478861,19410,standard_deviation_ozone,0.0,None,MKII,53,100.0,2004-01-25,4.35,50.8
95,478888,19411,standard_deviation_ozone,3.2,None,MKIII,53,100.0,2004-01-25,4.35,50.8
96,478862,19410,total_ozone_column,342.8,Dobson-units,MKII,53,100.0,2004-01-26,4.35,50.8
97,478889,19411,total_ozone_column,338.6,Dobson-units,MKIII,53,100.0,2004-01-26,4.35,50.8
98,501936,20339,total_ozone_column,314.4,Dobson-units,Beck,53,100.0,2004-01-26,4.35,50.8
99,478862,19410,standard_deviation_ozone,9.3,None,MKII,53,100.0,2004-01-26,4.35,50.8
100,478889,19411,standard_deviation_ozone,13.1,None,MKIII,53,100.0,2004-01-26,4.35,50.8
101,501936,20339,standard_deviation_ozone,6.5,None,Beck,53,100.0,2004-01-26,4.35,50.8
102,478863,19410,total_ozone_column,354.3,Dobson-units,MKII,53,100.0,2004-01-27,4.35,50.8
103,478890,19411,total_ozone_column,345.4,Dobson-units,MKIII,53,100.0,2004-01-27,4.35,50.8
104,501937,20339,total_ozone_column,342.3,Dobson-units,Beck,53,100.0,2004-01-27,4.35,50.8
105,478863,19410,standard_deviation_ozone,2.0,None,MKII,53,100.0,2004-01-27,4.35,50.8
106,478890,19411,standard_deviation_ozone,4.0,None,MKIII,53,100.0,2004-01-27,4.35,50.8
107,501937,20339,standard_deviation_ozone,3.5,None,Beck,53,100.0,2004-01-27,4.35,50.8
108,478864,19410,total_ozone_column,407.6,Dobson-units,MKII,53,100.0,2004-01-28,4.35,50.8
109,478864,19410,standard_deviation_ozone,0.0,None,MKII,53,100.0,2004-01-28,4.35,50.8
110,478865,19410,total_ozone_column,416.5,Dobson-units,MKII,53,100.0,2004-01-29,4.35,50.8
111,478891,19411,total_ozone_column,423.6,Dobson-units,MKIII,53,100.0,2004-01-29,4.35,50.8
112,501938,20339,total_ozone_column,379.1,Dobson-units,Beck,53,100.0,2004-01-29,4.35,50.8
113,478865,19410,standard_deviation_ozone,9.1,None,MKII,53,100.0,2004-01-29,4.35,50.8
114,478891,19411,standard_deviation_ozone,8.6,None,MKIII,53,100.0,2004-01-29,4.35,50.8
115,501938,20339,standard_deviation_ozone,0.0,None,Beck,53,100.0,2004-01-29,4.35,50.8
116,478866,19410,total_ozone_column,341.8,Dobson-units,MKII,53,100.0,2004-01-30,4.35,50.8
117,478892,19411,total_ozone_column,343.0,Dobson-units,MKIII,53,100.0,2004-01-30,4.35,50.8
118,501939,20339,total_ozone_column,363.8,Dobson-units,Beck,53,100.0,2004-01-30,4.35,50.8
119,478866,19410,standard_deviation_ozone,1.6,None,MKII,53,100.0,2004-01-30,4.35,50.8
120,478892,19411,standard_deviation_ozone,2.5,None,MKIII,53,100.0,2004-01-30,4.35,50.8
121,501939,20339,standard_deviation_ozone,12.4,None,Beck,53,100.0,2004-01-30,4.35,50.8
122,478867,19410,total_ozone_column,299.5,Dobson-units,MKII,53,100.0,2004-01-31,4.35,50.8
123,478893,19411,total_ozone_column,298.7,Dobson-units,MKIII,53,100.0,2004-01-31,4.35,50.8
124,478867,19410,standard_deviation_ozone,9.6,None,MKII,53,100.0,2004-01-31,4.35,50.8
125,478893,19411,standard_deviation_ozone,10.4,None,MKIII,53,100.0,2004-01-31,4.35,50.8
126,478894,19412,total_ozone_column,301.8,Dobson-units,MKII,53,100.0,2004-02-01,4.35,50.8
127,478923,19413,total_ozone_column,303.9,Dobson-units,MKIII,53,100.0,2004-02-01,4.35,50.8
128,478894,19412,standard_deviation_ozone,7.2,None,MKII,53,100.0,2004-02-01,4.35,50.8
129,478923,19413,standard_deviation_ozone,8.4,None,MKIII,53,100.0,2004-02-01,4.35,50.8
130,478895,19412,total_ozone_column,371.8,Dobson-units,MKII,53,100.0,2004-02-02,4.35,50.8
131,478895,19412,standard_deviation_ozone,0.9,None,MKII,53,100.0,2004-02-02,4.35,50.8
132,478896,19412,total_ozone_column,332.4,Dobson-units,MKII,53,100.0,2004-02-03,4.35,50.8
133,478924,19413,total_ozone_column,334.3,Dobson-units,MKIII,53,100.0,2004-02-03,4.35,50.8
134,501940,20340,total_ozone_column,329.0,Dobson-units,Beck,53,100.0,2004-02-03,4.35,50.8
135,478896,19412,standard_deviation_ozone,0.0,None,MKII,53,100.0,2004-02-03,4.35,50.8
136,478924,19413,standard_deviation_ozone,1.0,None,MKIII,53,100.0,2004-02-03,4.35,50.8
137,501940,20340,standard_deviation_ozone,18.4,None,Beck,53,100.0,2004-02-03,4.35,50.8
138,478897,19412,total_ozone_column,286.9,Dobson-units,MKII,53,100.0,2004-02-04,4.35,50.8
139,478925,19413,total_ozone_column,288.6,Dobson-units,MKIII,53,100.0,2004-02-04,4.35,50.8
140,501941,20340,total_ozone_column,276.0,Dobson-units,Beck,53,100.0,2004-02-04,4.35,50.8
141,478897,19412,standard_deviation_ozone,0.6,None,MKII,53,100.0,2004-02-04,4.35,50.8
142,478925,19413,standard_deviation_ozone,0.9,None,MKIII,53,100.0,2004-02-04,4.35,50.8
143,501941,20340,standard_deviation_ozone,3.3,None,Beck,53,100.0,2004-02-04,4.35,50.8
144,478898,19412,total_ozone_column,280.0,Dobson-units,MKII,53,100.0,2004-02-05,4.35,50.8
145,478926,19413,total_ozone_column,272.2,Dobson-units,MKIII,53,100.0,2004-02-05,4.35,50.8
146,501942,20340,total_ozone_column,274.6,Dobson-units,Beck,53,100.0,2004-02-05,4.35,50.8
147,478898,19412,standard_deviation_ozone,3.4,None,MKII,53,100.0,2004-02-05,4.35,50.8
148,478926,19413,standard_deviation_ozone,9.1,None,MKIII,53,100.0,2004-02-05,4.35,50.8
